sp-km,sp-tekst-r,line_number
1.5,Gontrode,122
2.8,Landskouter,122
4.8,Moortsele,122
6.7,Scheldewindeke,122
8.9,Balegem-Dorp,122
11.8,Balegem-Zuid,122
15.4,Zottegem,122
18.4,Erwetegem,122
19.6,Sint-Maria-Oudenhove,122
22.0,Lierde,122
24.4,Hemelveerdegem,122
25.0,Gemeldorp,122
28.5,Geraardsbergen,122
