sp-km,sp-tekst-r,line_number
0.0,Hoboken-Kapelstraat,27A
1.2,Fort 8,27A
3.0,Fort 7,27A
4.1,Wilrijk,27A
4.8,Fort 6,27A
6.0,Wilrijk-Molenveld,27A
7.1,Fort 5,27A
8.5,Mortsel-Luithagen,27A
8.9,Luithagen,27A
10.0,Deurne,27A
13.5,Antwerpen-Berchem,27A
14.7,Antwerpen-Oost,27A
8.7,Antwerpen-Schijnpoort,27A
18.2,Antwerpen-Dam,27A
12.9,Antwerpen-Luchtbaltram,27A
21.7,Antwerpen-Noorderdokken,27A
36.2,Bundel Rhodesië,27A
