sp-km,sp-tekst-r,line_number
3.8,Brussel-Zuid,50A
3.3,Klein-Eiland,50A
17.8,Sint-Katarina-Lombeek,50A
23.9,Welle,50A
52.1,Gent-Sint-Pieters,50A
56.1,Drongen,50A
58.8,Halewijn,50A
61.9,Landegem,50A
64.9,Hansbeke,50A
68.5,Bellem,50A
71.5,Aalter,50A
76.1,Maria-Aalter,50A
80.7,Beernem,50A
86.5,Oostkamp,50A
92.2,Brugge,50A
98.9,Varsenare,50A
101.8,Jabbeke,50A
108.0,Oudenburg,50A
109.9,Zandvoorde,50A
114.3,Oostende,50A
