sp-km,sp-tekst-r,line_number
0.0,Charleroi-Centraal,130A
1.0,Marcinelle,130A
1.8,La Villette,130A
2.5,La Sambre,130A
4.1,Marchienne-Zône,130A
4.5,Jambe-de-Bois,130A
8.0,Landelies,130A
11.6,Hourpes,130A
14.9,Thuin,130A
16.9,Lobbes,130A
21.8,Fontaine-Valmont,130A
23.7,Labuissière,130A
25.7,Solre-sur-Sambre,130A
27.6,Erquelinnes-Village,130A
29.1,Erquelinnes,130A
29.3,grens België - Frankrijk,130A
