sp-km,sp-tekst-r,line_number
0.0,Luik-Guillemins,37
2.6,Angleur,37
4.1,Chênée,37
5.8,Henne-Chèvremont,37
11.0,Chaudfontaine,37
9.5,La Brouck,37
11.0,Trooz,37
12.7,Olne,37
13.8,Fraipont,37
15.3,Nessonvaux,37
17.8,Goffontaine,37
18.8,Cornesse,37
20.3,Pepinster,37
23.5,Ensival,37
25.5,Verviers-West,37
25.4,Verviers-Paleis,37
27.1,Verviers-Oost,37
29.5,Nasproué,37
31.7,Dolhain-Gileppe,37
33.0,Dolhain-Vicinal,37
37.7,Welkenraedt,37
39.5,Herbesthal,37
42.4,Astenet,37
45.3,Hammerbrug,37
45.9,Hergenrath,37
47.0,grens België - Duitsland,37
