sp-km,sp-tekst-r,line_number
0.0,Halle,94
5.1,Beert-Bellingen,94
7.2,Sint-Renelde,94
10.0,Bierk,94
15.4,Edingen,94
18.2,Mark,94
24.2,Zullik,94
26.0,Opzullik,94
27.4,Hellebecq,94
28.9,Gellingen,94
30.7,Meslin-l'Evêque,94
32.8,Isières,94
34.4,Lanquesaint,94
38.4,Aat,94
41.7,Villers-Notre-Dame,94
43.7,Ligne,94
47.5,Chapelle-à-Wattines,94
50.4,Leuze,94
53.5,Pipaix,94
56.0,Barry-Maulde,94
61.6,Havinnes,94
63.9,Havinnes-Village,94
68.5,Doornik,94
71.1,Froyennes,94
75.5,Blandain,94
77.8,grens België - Frankrijk,94
