sp-km,sp-tekst-r,line_number
0.0,Moeskroen,75A
2.1,Herseaux-Plaats,75A
3.4,Herzeeuw,75A
6.9,Leers-Nord,75A
9.4,Néchin,75A
12.5,Templeuve,75A
15.6,Froyennes,75A
