sp-km,sp-tekst-r,line_number
0.0,Luik-Guillemins,125
1.1,Val-Benoît,125
2.9,Sclessin,125
5.1,Tilleur,125
6.4,Pont-de-Seraing,125
7.3,Jemeppe-sur-Meuse,125
9.3,Flémalle-Grande,125
10.0,Leman,125
11.2,Flémalle-Haute,125
12.3,Chokier,125
14.0,Aigremont,125
15.3,Engis,125
17.3,La Mallieue,125
18.8,Hermalle-sous-Huy,125
21.2,Haute-Flône,125
22.5,Amay,125
24.9,Ampsin,125
27.9,Corphalie,125
30.4,Statte,125
32.7,Bas-Oha,125
35.7,Java,125
40.3,Andenne,125
41.7,Château-de-Seilles,125
46.5,Sclaigneaux,125
48.8,Namêche,125
51.5,Marche-les-Dames,125
54.7,Beez,125
57.1,Faubourg-Saint-Nicolas,125
59.5,Namen,125
