sp-km,sp-tekst-r,line_number
1.2,Kinkempois,125A
3.1,Renory,125A
4.9,Ougrée,125A
6.5,Seraing,125A
8.8,Val-Saint-Lambert,125A
10.5,Rue-Borgnet,125A
11.0,Flémalle-Haute,125A
