sp-km,sp-tekst-r,line_number
3.8,Brussel-Zuid,50A
23.9,Welle,50A
52.1,Gent-Sint-Pieters,50A
56.1,Drongen,50A
61.9,Landegem,50A
64.9,Hansbeke,50A
71.5,Aalter,50A
76.1,Maria-Aalter,50A
80.7,Beernem,50A
114.3,Oostende,50A
