sp-km,sp-tekst-r,line_number
0.0,Brussel-Noord,36N
2.4,Schaarbeek,36N
5.5,Haren-Zuid,36N
7.0,Diegem,36N
9.4,Zaventem,36N
10.4,Zaventem,36N
11.5,Nossegem,36N
12.0,Nossegem,36N
14.7,Kortenberg,36N
17.8,Erps-Kwerps,36N
21.1,Veltem,36N
24.0,Herent,36N
28.8,Leuven,36N
