sp-km,sp-tekst-r,line_number
0.0,Luik-Guillemins,125
6.4,Pont-de-Seraing,125
7.3,Jemeppe-sur-Meuse,125
11.2,Flémalle-Haute,125
15.3,Engis,125
22.5,Amay,125
24.9,Ampsin,125
30.4,Statte,125
40.3,Andenne,125
59.5,Namen,125
