sp-km,sp-tekst-r,line_number
3.8,Brussel-Zuid,50A
52.1,Gent-Sint-Pieters,50A
61.9,Landegem,50A
71.5,Aalter,50A
80.7,Beernem,50A
92.2,Brugge,50A
114.3,Oostende,50A
