sp-km,sp-tekst-r,line_number
0.0,Brugge,66
10.8,Zedelgem,66
18.9,Torhout,66
23.7,Lichtervelde,66
32.4,Roeselare,66
39.3,Izegem,66
42.4,Ingelmunster,66
54.5,Kortrijk,66
