sp-km,sp-tekst-r,line_number
0.0,Namen,162
2.1,Jambes-Oost,162
5.0,Dave-Saint-Martin,162
7.8,Naninne,162
10.9,Sart-Bernard,162
14.0,Courrière,162
16.7,Assesse,162
18.3,Florée,162
20.5,Natoye,162
26.4,Braibant,162
29.0,Ciney,162
32.0,Leignon,162
32.9,Chapois,162
39.1,Haversin,162
45.8,Hogne,162
48.9,Aye,162
51.2,Marloie,162
57.6,Rochefort-Jemelle,162
60.0,Forrières,162
62.8,Lesterny,162
65.9,Grupont,162
72.1,Mirwart,162
76.2,Poix-Saint-Hubert,162
80.0,Hatrival,162
88.5,Serpont,162
89.7,Libramont,162
94.8,Verlaine,162
98.5,Neufchâteau,162
100.4,Hamipré,162
105.0,Cousteumont,162
107.1,Lavaux,162
111.1,Mellier,162
114.8,Marbehan,162
115.9,Rulles,162
118.5,Houdemont,162
121.6,Habay-la-Neuve,162
125.8,Hachy,162
128.0,Fouches,162
132.7,Stockem,162
134.0,Viville,162
135.8,Aarlen,162
137.6,Weyler,162
140.3,Autelbas,162
142.6,Barnich,162
145.5,Sterpenich,162
146.8,grens België - Luxemburg,162
