sp-km,sp-tekst-r,line_number
0.0,Schellebelle,53
2.8,Wichelen,53
5.8,Schoonaarde,53
9.7,Oudegem,53
12.5,Dendermonde,53
16.2,Baasrode-Zuid,53
18.2,Koude Haard,53
19.6,Buggenhout,53
21.6,Malderen,53
23.3,Molenheide,53
26.4,Londerzeel,53
28.2,Londerzeel-Oost,53
29.0,Ramsdonk,53
31.0,Kapelle-op-den-Bos,53
34.9,Heike,53
36.6,Hombeek,53
38.8,Brusselsesteenweg,53
39.6,Mechelen,53
42.6,Muizen,53
44.5,Hever,53
46.2,Biststraat,53
48.1,Boortmeerbeek,53
51.4,Haacht,53
52.5,Wespelaar-Heike,53
53.4,Wespelaar-Tildonk,53
55.8,Hambos,53
58.3,Wakkerzeelseweg,53
59.4,Wijgmaal,53
64.1,Leuven,53
