sp-km,sp-tekst-r,line_number
0.6,Luik-Vennes,40
3.1,Luik-Cornillon,40
4.9,Bressoux,40
5.9,Jupille,40
8.0,Souverain-Wandre,40
8.8,Wandre,40
10.2,Château-de-Cheratte,40
10.9,Cheratte,40
12.0,Sarolay,40
13.0,Argenteau,40
13.4,Pont d'Argenteau,40
14.8,Visé-Central,40
15.1,Souvré,40
15.9,Visé/Wezet,40
16.3,Visé Bas,40
17.1,grens Luik - Limburg,40
18.2,grens België - Nederland,40
19.8,Eijsden,40
22.3,Maarland,40
24.1,Gronsveld,40
27.1,Heer,40
27.2,Maastricht Randwyck,40
28.3,tramlijn van Vaals,40
28.8,Maastricht,40
