sp-km,sp-tekst-r,line_number
0.0,Libramont,165
2.5,Recogne,165
3.8,Neuvillers,165
7.5,Rossart,165
12.2,Bertrix,165
15.7,Orgéo,165
16.1,Orgéo,165
17.6,Saint-Médard,165
20.6,Straimont,165
25.5,Les Épioux,165
30.7,Lacuisine,165
32.5,Florenville,165
36.2,Pin,165
37.7,Izel,165
40.0,Jamoigne,165
43.5,Saint-Vincent-Bellefontaine,165
46.9,Lahage,165
50.8,Meix-devant-Virton,165
53.5,Houdrigny,165
57.2,Virton,165
59.6,Chenois-Latour,165
62.9,Latour,165
63.7,Ruette,165
65.1,Saint-Remy,165
67.6,Signeulx,165
70.1,Baranzy,165
72.0,Musson,165
74.6,Halanzy,165
78.9,Aubange,165
81.9,Athus,165
81.4,grens België - Luxemburg,165
